fdc_id,protein_g,fat_g,carbs_g,calories,description
169565,20.61,6.01,0.0,137.0,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, all grades, raw"
169566,20.67,6.21,0.0,139.0,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, choice, raw"
169567,28.84,14.95,0.0,250.0,"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised"
169568,28.79,12.08,0.0,224.0,"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised"
169569,28.82,13.8,0.0,240.0,"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised"
169570,20.57,8.45,0.0,158.0,"Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, select, raw"
169571,26.75,8.34,0.0,182.0,"Beef, loin, bottom sirloin butt, tri-tip roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted"
169572,0.25,0.0,1.3,29.0,"Alcoholic beverage, beer, light, BUD LIGHT"
169573,0.0,0.0,15.7,125.0,"Alcoholic beverage, daiquiri, canned"
169574,0.06,0.06,6.94,186.0,"Alcoholic beverage, daiquiri, prepared-from-recipe"
169575,0.17,0.0,0.73,27.0,"Alcoholic beverage, beer, light, low carb"
169576,4.1,14.8,68.4,390.0,"Candies, milk chocolate coated raisins"
169577,0.0,0.0,44.55,165.0,"Syrups, table blends, pancake, reduced-calorie"
169578,0.0,0.0,61.47,234.0,"Syrups, table blends, pancake"
169579,12.82,38.46,44.89,577.0,"Candies, HERSHEY'S POT OF GOLD Almond Bar"
169580,6.21,33.76,44.88,510.0,"Candies, truffles, prepared-from-recipe"
169581,4.44,26.15,65.96,517.0,"Baking chocolate, MARS SNACKFOOD US, M&M's Semisweet Chocolate Mini Baking Bits"
169582,9.57,26.13,60.48,515.0,"Candies, MARS SNACKFOOD US, M&M's Peanut Chocolate Candies"
169583,4.33,21.13,71.19,492.0,"Candies, MARS SNACKFOOD US, M&M's Milk Chocolate Candies"
169584,4.78,23.36,68.4,502.0,"Baking chocolate, MARS SNACKFOOD US, M&M's Milk Chocolate Mini Baking Bits"
169585,15.5,33.7,47.4,522.0,"Candies, peanut bar"
169586,7.57,18.98,71.24,486.0,"Candies, peanut brittle, prepared-from-recipe"
169587,4.4,17.0,71.0,422.0,"Candies, NESTLE, RAISINETS Chocolate Covered Raisins"
169588,11.6,33.3,50.3,516.0,"Candies, sesame crunch"
169589,7.53,23.85,61.51,491.0,"Candies, MARS SNACKFOOD US, SNICKERS Bar"
169590,0.41,8.21,82.57,408.0,"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Original fruits"
169591,4.78,23.36,68.4,502.0,"Candies, MARS SNACKFOOD US, M&M's MINIs Milk Chocolate Candies"
169592,5.54,32.4,60.49,556.0,"Candies, SPECIAL DARK Chocolate Bar"
169593,19.6,13.7,57.9,228.0,"Cocoa, dry powder, unsweetened"
169594,18.1,13.1,58.3,220.0,"Cocoa, dry powder, unsweetened, processed with alkali"
169595,5.02,4.58,11.0,104.0,"Desserts, egg custard, baked, prepared-from-recipe"
169596,1.22,0.0,14.19,60.0,"Gelatin desserts, dry mix, prepared with water"
169597,15.67,0.0,80.21,198.0,"Gelatin desserts, dry mix, reduced calorie, with aspartame"
169598,0.83,0.0,4.22,20.0,"Gelatin desserts, dry mix, reduced calorie, with aspartame, prepared with water"
169599,85.6,0.1,0.0,335.0,"Gelatins, dry powder, unsweetened"
169600,3.1,3.1,18.8,111.0,"Puddings, chocolate, dry mix, instant, prepared with whole milk"
169601,1.75,3.43,30.84,161.0,"Desserts, apple crisp, prepared-from-recipe"
169602,0.0,0.0,91.6,348.0,"Flan, caramel custard, dry mix"
169603,2.6,2.1,89.3,362.0,"Puddings, chocolate, dry mix, regular"
169604,3.16,3.15,19.64,120.0,"Puddings, chocolate, dry mix, regular, prepared with whole milk"
